Exp3 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
4 30s 90 1 scrambled-754.jpg
4 30s 91 1 scrambled-200.jpg
5 15s 104 0.5 scrambled-1069.jpg
5 15s 104.5 0.5 scrambled-643.jpg
5 15s 105 0.5 scrambled-984.jpg
5 15s 105.5 0.5 scrambled-828.jpg
5 15s 106 0.5 scrambled-807.jpg
5 15s 106.5 0.5 scrambled-917.jpg
5 15s 107 0.5 scrambled-142.jpg
5 15s 107.5 0.5 scrambled-1249.jpg
5 15s 108 0.5 scrambled-48.jpg
5 15s 108.5 0.5 scrambled-730.jpg
5 15s 109 0.5 scrambled-779.jpg
5 15s 109.5 0.5 scrambled-976.jpg
5 15s 110 0.5 scrambled-831.jpg
5 15s 110.5 0.5 scrambled-622.jpg
5 15s 111 0.5 scrambled-392.jpg
5 15s 111.5 0.5 scrambled-493.jpg
5 15s 112 0.5 scrambled-945.jpg
5 15s 112.5 0.5 scrambled-942.jpg
5 15s 113 0.5 scrambled-781.jpg
5 15s 113.5 0.5 scrambled-865.jpg
5 15s 114 0.5 scrambled-1254.jpg
5 15s 114.5 0.5 scrambled-1004.jpg
5 15s 115 0.5 scrambled-1132.jpg
5 15s 115.5 0.5 scrambled-5.jpg
5 15s 116 0.5 scrambled-484.jpg
5 15s 116.5 0.5 scrambled-733.jpg
5 15s 117 0.5 scrambled-110.jpg
5 15s 117.5 0.5 scrambled-971.jpg
5 15s 118 0.5 scrambled-342.jpg
5 15s 118.5 0.5 scrambled-1178.jpg
6 15s 144 0.5 scrambled-1326.jpg
6 15s 144.5 0.5 scrambled-1034.jpg
6 15s 145 0.5 scrambled-1070.jpg
6 15s 145.5 0.5 scrambled-220.jpg
6 15s 146 0.5 scrambled-725.jpg
6 15s 146.5 0.5 scrambled-757.jpg
6 15s 147 0.5 scrambled-1269.jpg
6 15s 147.5 0.5 scrambled-38.jpg
6 15s 148 0.5 scrambled-74.jpg
6 15s 148.5 0.5 scrambled-271.jpg
6 15s 149 0.5 scrambled-159.jpg
6 15s 149.5 0.5 scrambled-688.jpg
6 15s 150 0.5 scrambled-1097.jpg
6 15s 150.5 0.5 scrambled-417.jpg
6 15s 151 0.5 scrambled-255.jpg
6 15s 151.5 0.5 scrambled-227.jpg
6 15s 152 0.5 scrambled-1416.jpg
6 15s 152.5 0.5 scrambled-1349.jpg
6 15s 153 0.5 scrambled-1041.jpg
6 15s 153.5 0.5 scrambled-727.jpg
6 15s 154 0.5 scrambled-250.jpg
6 15s 154.5 0.5 scrambled-677.jpg
6 15s 155 0.5 scrambled-1346.jpg
6 15s 155.5 0.5 scrambled-629.jpg
6 15s 156 0.5 scrambled-842.jpg
6 15s 156.5 0.5 scrambled-920.jpg
6 15s 157 0.5 scrambled-992.jpg
6 15s 157.5 0.5 scrambled-260.jpg
6 15s 158 0.5 scrambled-93.jpg
6 15s 158.5 0.5 scrambled-1302.jpg
7 2s 171 0.066667 scrambled-403.jpg
7 2s 171.0667 0.066667 scrambled-322.jpg
7 2s 171.1333 0.066667 scrambled-1056.jpg
7 2s 171.2 0.066667 scrambled-998.jpg
7 2s 171.2667 0.066667 scrambled-259.jpg
7 2s 171.3333 0.066667 scrambled-261.jpg
7 2s 171.4 0.066667 scrambled-521.jpg
7 2s 171.4667 0.066667 scrambled-962.jpg
7 2s 171.5333 0.066667 scrambled-822.jpg
7 2s 171.6 0.066667 scrambled-169.jpg
7 2s 171.6667 0.066667 scrambled-293.jpg
7 2s 171.7333 0.066667 scrambled-1019.jpg
7 2s 171.8 0.066667 scrambled-515.jpg
7 2s 171.8667 0.066667 scrambled-995.jpg
7 2s 171.9333 0.066667 scrambled-1295.jpg
7 2s 172 0.066667 scrambled-123.jpg
7 2s 172.0667 0.066667 scrambled-1218.jpg
7 2s 172.1333 0.066667 scrambled-46.jpg
7 2s 172.2 0.066667 scrambled-552.jpg
7 2s 172.2667 0.066667 scrambled-813.jpg
7 2s 172.3333 0.066667 scrambled-139.jpg
7 2s 172.4 0.066667 scrambled-575.jpg
7 2s 172.4667 0.066667 scrambled-1104.jpg
7 2s 172.5333 0.066667 scrambled-1131.jpg
7 2s 172.6 0.066667 scrambled-126.jpg
7 2s 172.6667 0.066667 scrambled-377.jpg
7 2s 172.7333 0.066667 scrambled-213.jpg
7 2s 172.8 0.066667 scrambled-1360.jpg
7 2s 172.8667 0.066667 scrambled-502.jpg
7 2s 172.9333 0.066667 scrambled-1016.jpg
8 4s 198 0.13333 scrambled-555.jpg
8 4s 198.1333 0.13333 scrambled-1373.jpg
8 4s 198.2667 0.13333 scrambled-1301.jpg
8 4s 198.4 0.13333 scrambled-644.jpg
8 4s 198.5333 0.13333 scrambled-163.jpg
8 4s 198.6667 0.13333 scrambled-183.jpg
8 4s 198.8 0.13333 scrambled-809.jpg
8 4s 198.9333 0.13333 scrambled-776.jpg
8 4s 199.0667 0.13333 scrambled-627.jpg
8 4s 199.2 0.13333 scrambled-1273.jpg
8 4s 199.3333 0.13333 scrambled-83.jpg
8 4s 199.4667 0.13333 scrambled-574.jpg
8 4s 199.6 0.13333 scrambled-1247.jpg
8 4s 199.7333 0.13333 scrambled-994.jpg
8 4s 199.8667 0.13333 scrambled-590.jpg
8 4s 200 0.13333 scrambled-579.jpg
8 4s 200.1333 0.13333 scrambled-1156.jpg
8 4s 200.2667 0.13333 scrambled-283.jpg
8 4s 200.4 0.13333 scrambled-778.jpg
8 4s 200.5333 0.13333 scrambled-565.jpg
8 4s 200.6667 0.13333 scrambled-233.jpg
8 4s 200.8 0.13333 scrambled-1384.jpg
8 4s 200.9333 0.13333 scrambled-150.jpg
8 4s 201.0667 0.13333 scrambled-1356.jpg
8 4s 201.2 0.13333 scrambled-1426.jpg
8 4s 201.3333 0.13333 scrambled-542.jpg
8 4s 201.4667 0.13333 scrambled-851.jpg
8 4s 201.6 0.13333 scrambled-1072.jpg
8 4s 201.7333 0.13333 scrambled-1117.jpg
8 4s 201.8667 0.13333 scrambled-1048.jpg
9 8s 214 0.26667 scrambled-853.jpg
9 8s 214.2667 0.26667 scrambled-121.jpg
9 8s 214.5333 0.26667 scrambled-990.jpg
9 8s 214.8 0.26667 scrambled-391.jpg
9 8s 215.0667 0.26667 scrambled-886.jpg
9 8s 215.3333 0.26667 scrambled-732.jpg
9 8s 215.6 0.26667 scrambled-583.jpg
9 8s 215.8667 0.26667 scrambled-278.jpg
9 8s 216.1333 0.26667 scrambled-941.jpg
9 8s 216.4 0.26667 scrambled-365.jpg
9 8s 216.6667 0.26667 scrambled-1018.jpg
9 8s 216.9333 0.26667 scrambled-407.jpg
9 8s 217.2 0.26667 scrambled-692.jpg
9 8s 217.4667 0.26667 scrambled-288.jpg
9 8s 217.7333 0.26667 scrambled-802.jpg
9 8s 218 0.26667 scrambled-175.jpg
9 8s 218.2667 0.26667 scrambled-761.jpg
9 8s 218.5333 0.26667 scrambled-86.jpg
9 8s 218.8 0.26667 scrambled-839.jpg
9 8s 219.0667 0.26667 scrambled-234.jpg
9 8s 219.3333 0.26667 scrambled-503.jpg
9 8s 219.6 0.26667 scrambled-1071.jpg
9 8s 219.8667 0.26667 scrambled-514.jpg
9 8s 220.1333 0.26667 scrambled-797.jpg
9 8s 220.4 0.26667 scrambled-96.jpg
9 8s 220.6667 0.26667 scrambled-655.jpg
9 8s 220.9333 0.26667 scrambled-603.jpg
9 8s 221.2 0.26667 scrambled-475.jpg
9 8s 221.4667 0.26667 scrambled-1333.jpg
9 8s 221.7333 0.26667 scrambled-849.jpg
10 30s 234 1 scrambled-42.jpg
10 30s 235 1 scrambled-721.jpg
10 30s 236 1 scrambled-901.jpg
10 30s 237 1 scrambled-1248.jpg
10 30s 238 1 scrambled-1428.jpg
10 30s 239 1 scrambled-927.jpg
10 30s 240 1 scrambled-666.jpg
10 30s 241 1 scrambled-1329.jpg
10 30s 242 1 scrambled-1000.jpg
10 30s 243 1 scrambled-1045.jpg
10 30s 244 1 scrambled-1195.jpg
10 30s 245 1 scrambled-550.jpg
10 30s 246 1 scrambled-1223.jpg
10 30s 247 1 scrambled-936.jpg
10 30s 248 1 scrambled-997.jpg
10 30s 249 1 scrambled-485.jpg
10 30s 250 1 scrambled-10.jpg
10 30s 251 1 scrambled-333.jpg
10 30s 252 1 scrambled-1151.jpg
10 30s 253 1 scrambled-1009.jpg
10 30s 254 1 scrambled-708.jpg
10 30s 255 1 scrambled-474.jpg
10 30s 256 1 scrambled-703.jpg
10 30s 257 1 scrambled-594.jpg
10 30s 258 1 scrambled-1001.jpg
10 30s 259 1 scrambled-702.jpg
10 30s 260 1 scrambled-696.jpg
10 30s 261 1 scrambled-469.jpg
10 30s 262 1 scrambled-1274.jpg
10 30s 263 1 scrambled-1081.jpg
